temperature,humidity,pir,ultrasonic_distance,distance_change,entry_exit_event,mq135_raw,mq135_change,gas_rise_streak,true_occupancy
27.59,57.45,0,177.96,-13.18,NONE,1919.45,0.82,11,1
27.92,56.18,1,261.78,12.41,NONE,1199.06,12.85,4,0
25.16,69.26,0,167.99,-24.34,NONE,1561.84,-30.72,3,1
27.06,77.43,1,89.53,-47.33,ENTER,1128.13,-8.85,2,1
25.97,64.64,0,282.61,-3.91,NONE,1675.49,29.35,5,0
28.35,43.6,1,220.1,15.74,NONE,1178.85,-7.57,3,1
28.12,50.94,1,147.78,0.27,NONE,1386.36,13.05,4,1
33.92,48.94,0,216.33,6.0,NONE,1455.97,8.85,7,1
33.46,40.7,0,164.88,23.68,NONE,1366.45,31.95,8,1
28.99,51.88,1,190.13,-16.67,NONE,1212.99,62.49,2,1
27.4,61.22,0,228.23,-71.43,ENTER,1206.78,-9.67,5,0
36.58,56.25,1,121.05,2.01,NONE,1065.25,-1.75,1,0
29.17,53.65,0,120.69,-83.97,ENTER,981.38,-7.76,0,1
33.03,73.99,0,222.56,4.74,NONE,1349.09,17.23,8,1
28.96,54.13,0,185.2,-6.31,NONE,1491.07,2.29,4,1
30.28,61.69,0,156.54,-8.47,NONE,995.99,-4.64,4,0
23.6,68.85,1,238.69,18.33,NONE,1686.04,14.57,1,0
28.69,70.07,0,148.3,-1.0,NONE,1662.51,14.53,5,0
27.49,81.06,0,205.26,-5.61,NONE,1597.91,8.84,10,1
26.02,67.09,0,82.89,-56.48,ENTER,1789.9,1.16,5,1
22.21,69.37,0,145.28,4.09,NONE,1178.76,-11.2,0,0
28.5,66.51,0,150.74,-50.57,ENTER,1441.47,-11.95,4,0
26.38,57.95,0,211.85,15.05,NONE,1130.41,-29.65,1,0
27.59,65.04,0,86.35,16.26,NONE,1189.82,-2.52,2,0
25.49,27.81,1,242.02,15.33,NONE,1126.24,1.07,1,0
21.8,57.76,1,241.67,-19.94,NONE,1841.63,39.57,8,1
26.46,58.78,0,163.01,10.1,NONE,1027.81,-9.03,1,0
28.16,63.53,1,233.49,-4.94,NONE,989.26,25.17,2,1
34.31,65.88,0,161.02,8.06,NONE,1339.35,-2.08,5,0
27.97,78.89,0,212.98,-5.12,NONE,1422.64,15.7,2,0
32.56,73.68,0,272.81,12.38,NONE,1452.44,11.33,3,0
32.0,65.02,0,268.38,10.6,NONE,1227.59,-27.85,0,0
29.09,76.82,1,266.99,-0.51,NONE,1234.12,3.68,5,0
28.95,66.1,0,211.4,-0.36,NONE,1164.98,13.08,10,1
33.26,69.85,1,204.48,-8.83,NONE,1390.41,13.14,11,1
24.92,54.29,0,218.48,-1.15,NONE,1313.88,3.88,1,0
33.32,59.18,0,253.83,3.77,NONE,1295.52,12.41,0,0
33.44,40.86,0,222.9,-1.05,NONE,1045.26,0.39,1,0
30.91,60.18,0,196.92,1.42,NONE,1105.54,-8.93,10,1
29.37,58.4,1,211.19,18.28,NONE,1516.52,-7.09,6,1
28.8,44.68,0,186.83,14.87,NONE,1412.67,19.01,1,0
33.33,75.05,0,220.93,-3.93,NONE,1428.67,15.24,13,1
21.66,73.35,0,149.24,-8.81,NONE,1390.74,8.43,11,1
28.33,51.5,1,181.72,42.11,NONE,1182.32,12.54,3,1
28.53,70.33,0,202.42,-1.98,NONE,1684.9,16.99,6,1
27.55,36.74,0,160.04,-0.86,NONE,1296.25,-5.01,2,0
28.01,63.68,0,191.11,-9.42,NONE,860.91,-1.0,0,0
26.13,40.4,0,159.76,17.87,NONE,1166.38,-26.42,4,0
27.22,62.59,0,150.88,-5.67,NONE,1227.78,-0.22,0,0
31.92,87.64,0,220.11,-1.23,NONE,1287.31,-10.71,1,0
29.95,85.36,1,155.2,9.8,NONE,1633.82,-3.08,7,1
23.94,69.3,0,164.72,0.12,NONE,930.21,27.45,5,0
28.88,54.87,1,226.77,26.64,NONE,1903.21,-21.65,3,1
27.5,54.91,1,208.6,6.92,NONE,1560.27,-3.42,8,1
31.59,55.75,0,268.36,-5.63,NONE,1108.83,0.44,2,0
26.39,87.74,0,106.01,1.5,NONE,1287.84,4.56,0,0
30.21,61.37,1,250.22,-27.87,NONE,1104.79,21.2,7,1
23.81,65.55,0,146.05,-49.9,ENTER,1496.13,19.16,0,1
26.08,56.85,0,229.77,3.07,NONE,1025.32,14.77,0,0
36.13,55.98,0,162.16,-0.25,NONE,1351.1,-14.8,0,0
27.59,50.58,0,243.56,9.66,NONE,1396.71,-3.49,1,0
29.12,84.99,1,252.12,-9.2,NONE,1313.34,-5.15,2,0
31.5,50.75,0,244.44,7.49,NONE,1420.91,26.32,9,1
31.0,54.98,0,189.97,10.32,NONE,1672.81,-13.53,1,0
24.65,38.59,0,239.24,7.09,NONE,1321.66,3.89,5,0
36.73,76.17,1,20.0,-40.78,ENTER,1574.59,41.12,5,1
34.7,54.48,0,152.49,23.51,NONE,1431.88,10.45,6,1
29.31,60.18,1,159.31,2.62,NONE,1100.96,29.37,2,1
30.25,47.22,0,150.81,11.37,NONE,1173.84,-16.41,1,0
24.74,71.19,0,219.2,-9.5,NONE,1519.26,19.85,5,1
30.35,50.4,0,229.29,-2.53,NONE,1270.92,20.15,2,0
31.97,70.31,1,200.83,18.07,NONE,1611.72,30.37,9,1
22.33,37.5,0,206.03,-0.92,NONE,1563.91,26.77,4,1
29.79,59.61,0,207.29,-0.97,NONE,1725.67,-12.98,3,1
30.42,60.51,1,203.09,5.71,NONE,1288.65,-6.48,0,0
28.09,63.54,1,160.81,-14.41,NONE,1326.49,2.77,1,1
32.6,47.47,0,167.65,24.66,NONE,1271.41,9.02,2,0
34.51,57.31,0,159.94,17.86,NONE,1697.65,18.74,3,0
27.06,95.0,0,166.5,2.33,NONE,2022.97,8.45,7,1
24.64,67.65,1,234.12,-1.41,NONE,1309.25,19.14,2,0
30.53,68.17,0,157.08,13.95,NONE,1568.84,-28.66,0,0
31.9,61.05,1,220.46,-0.57,NONE,1270.49,31.79,1,1
25.83,76.2,1,191.93,-4.32,NONE,1234.19,19.3,9,1
26.18,67.52,0,239.6,2.41,NONE,1312.5,-32.72,0,0
26.77,61.11,0,158.0,3.5,NONE,1094.27,2.93,4,0
27.36,89.67,0,193.25,0.52,NONE,2002.87,1.84,4,1
32.94,49.07,1,135.08,-43.91,ENTER,1477.07,12.83,0,1
24.93,62.98,1,163.65,-9.56,NONE,1365.93,-11.42,8,1
25.13,72.45,0,230.48,-11.0,NONE,1148.27,-9.81,1,0
27.18,71.17,1,172.17,11.91,NONE,875.5,-3.01,3,0
27.39,75.86,0,180.67,10.28,NONE,1296.81,41.92,4,0
34.38,74.17,1,233.47,98.64,EXIT,1386.4,-9.03,2,1
33.96,74.49,1,238.54,16.04,NONE,1433.31,11.79,11,1
31.45,51.65,0,148.22,4.59,NONE,1090.93,2.91,1,0
31.72,41.79,0,250.25,-5.82,NONE,1167.64,20.9,7,1
27.17,71.5,0,182.96,-6.67,NONE,1540.55,4.07,0,0
28.3,53.78,1,127.14,7.74,NONE,1220.0,5.58,1,0
29.4,57.56,0,208.25,-14.77,NONE,1361.36,58.44,9,1
27.2,32.15,0,262.21,-54.98,ENTER,1141.69,18.65,0,0
25.2,54.47,0,190.89,9.03,NONE,1326.64,9.1,11,1
29.93,77.0,0,400.0,-10.35,NONE,1405.7,-22.39,3,0
35.06,78.69,0,200.7,9.94,NONE,1369.2,6.92,12,1
31.56,57.51,1,177.9,-3.52,NONE,1584.4,-2.15,0,0
29.76,68.27,0,165.95,7.44,NONE,1672.09,9.96,3,0
26.2,61.23,0,304.51,0.49,NONE,648.09,-54.84,3,0
29.49,56.2,0,222.37,0.54,NONE,1404.51,-7.16,0,0
28.76,59.93,1,253.52,-11.1,NONE,1299.5,-9.28,3,0
21.96,49.11,1,220.07,-21.73,NONE,2055.89,12.96,8,1
28.34,67.44,0,220.13,2.92,NONE,1550.73,-35.62,0,0
26.43,90.62,0,190.75,0.25,NONE,1028.78,14.38,6,1
31.0,46.66,0,180.46,-13.8,EXIT,932.7,-3.86,2,0
28.88,80.57,0,221.13,-0.02,NONE,1270.49,-31.98,2,0
35.82,66.74,1,279.86,1.77,NONE,1522.35,0.27,4,0
29.23,48.64,1,154.55,6.83,NONE,1273.96,20.92,4,0
26.05,67.7,0,244.85,78.62,EXIT,1376.41,1.22,3,0
25.59,61.91,1,325.86,3.33,NONE,1249.17,-41.65,4,0
30.79,77.74,1,195.4,28.59,NONE,1607.47,14.65,4,1
30.02,59.09,0,139.01,11.84,NONE,1529.62,-33.35,5,0
33.66,43.29,0,177.96,13.11,NONE,1601.28,-14.68,4,1
20.72,46.66,0,180.94,-19.25,NONE,1559.24,-3.86,5,1
37.48,38.85,0,169.49,2.53,NONE,1085.13,7.26,5,1
27.65,53.53,1,181.01,-5.3,NONE,1291.79,-24.1,5,0
32.02,83.25,0,130.52,9.14,NONE,1197.71,-3.76,1,0
25.17,70.04,1,213.78,32.28,NONE,1461.83,-20.99,4,1
24.23,55.64,0,241.76,1.48,NONE,1227.35,-0.77,14,1
32.22,78.52,0,203.01,1.36,NONE,1624.76,-2.21,0,0
29.47,67.74,0,143.05,2.25,NONE,1341.93,0.27,6,1
33.0,64.04,0,234.92,-0.25,NONE,1244.95,3.14,0,0
31.86,68.02,0,305.18,-12.73,NONE,951.31,11.9,1,0
35.18,53.36,0,64.88,-5.78,NONE,1520.37,-4.56,0,0
29.6,52.06,1,173.51,83.08,EXIT,1379.28,-1.68,3,1
21.41,56.56,0,219.0,-10.76,NONE,1350.27,15.73,1,0
32.47,48.81,0,292.45,0.52,NONE,1343.98,-16.0,4,0
35.94,46.87,0,217.04,-65.51,ENTER,1312.95,-9.9,3,0
27.34,60.1,0,212.82,7.15,NONE,1160.56,38.95,7,1
31.8,73.31,0,206.2,12.31,NONE,1055.17,3.74,0,0
25.94,77.24,0,217.61,11.25,NONE,1078.44,-9.15,2,0
29.52,49.15,0,190.04,3.6,NONE,1572.61,-7.87,7,1
26.58,44.64,1,217.9,-5.95,NONE,1495.63,-1.83,1,0
25.41,64.66,0,212.42,16.29,NONE,1383.86,-7.29,0,0
28.27,51.84,1,174.89,5.73,NONE,1595.58,24.89,5,1
29.04,72.79,0,168.05,3.28,NONE,1533.87,-39.16,4,0
29.26,78.45,0,184.68,-10.17,NONE,1515.12,2.41,4,0
28.7,76.07,0,231.47,13.16,NONE,873.37,-32.34,2,0
26.17,66.75,0,193.1,1.25,NONE,1579.85,4.73,9,1
33.74,57.78,0,208.36,-8.54,NONE,1232.74,18.18,0,0
26.83,62.08,0,232.5,-3.75,NONE,715.5,13.22,7,1
23.6,48.69,0,175.9,-6.93,NONE,1295.66,28.4,0,0
26.28,76.51,0,244.27,-0.78,NONE,1462.02,-4.12,0,0
30.34,49.05,0,330.05,11.11,NONE,1564.26,39.94,0,0
31.15,52.15,1,161.3,-2.08,NONE,820.18,-24.6,5,0
28.99,56.24,1,213.86,9.46,NONE,1611.02,5.26,5,1
26.48,51.82,0,152.34,-6.72,NONE,1420.92,1.82,3,0
29.63,64.33,0,185.12,-3.83,NONE,1450.53,-13.48,1,0
26.24,66.03,0,282.25,13.07,NONE,1119.78,0.33,0,0
22.17,68.75,1,197.57,9.52,NONE,1422.44,38.86,6,1
32.49,49.94,0,191.67,8.42,NONE,1315.98,-3.33,3,0
29.57,54.24,0,299.12,-4.91,NONE,1401.88,-3.27,0,0
33.45,63.48,0,220.29,-5.14,NONE,1336.63,13.39,0,0
25.82,69.25,0,125.04,3.55,NONE,1262.99,31.1,0,0
30.13,58.22,0,225.99,-14.76,NONE,1296.89,-0.5,0,0
27.76,58.52,0,182.15,8.0,NONE,1168.8,17.91,0,0
31.07,38.34,1,139.73,8.22,NONE,1464.82,-27.58,4,1
29.52,46.92,1,231.16,67.82,EXIT,1668.2,-2.0,2,1
30.57,46.69,0,269.78,-1.65,NONE,1185.99,2.98,4,0
34.99,78.52,0,208.84,-5.17,NONE,1022.39,-7.56,0,0
30.18,56.85,0,174.28,-8.17,NONE,1538.4,27.93,14,1
22.73,44.54,0,210.78,-10.71,NONE,1622.15,-6.02,11,1
27.7,66.19,0,204.33,18.68,NONE,1169.06,-27.82,0,0
33.63,56.73,0,240.65,-1.04,NONE,1422.8,24.95,3,1
33.53,67.27,0,235.4,24.59,EXIT,1558.47,-22.78,1,0
23.92,50.21,1,167.39,-6.15,NONE,1375.54,29.58,3,1
23.5,84.51,0,185.31,-6.39,NONE,1397.44,0.1,12,1
27.51,64.13,0,213.47,12.92,NONE,1290.33,-12.63,3,0
28.91,57.49,1,230.29,0.67,NONE,1206.82,5.57,5,0
27.58,61.49,0,309.49,-3.91,NONE,1219.73,-16.91,3,0
28.46,34.9,0,170.44,31.63,NONE,1634.46,22.83,4,1
30.16,53.22,0,201.86,2.48,NONE,1073.26,-30.88,3,0
31.99,67.74,0,169.29,2.9,NONE,1157.02,-20.55,0,0
28.91,70.61,0,174.52,1.76,NONE,1434.55,-22.36,1,0
24.85,58.38,1,217.75,9.91,NONE,1298.55,32.21,4,1
20.31,70.88,0,223.85,32.63,NONE,1143.32,-21.0,6,1
33.02,70.83,0,205.89,-15.17,NONE,1200.5,-4.74,5,0
27.85,63.48,1,194.02,9.4,NONE,1236.04,-4.2,1,0
31.73,80.5,0,104.85,-36.21,ENTER,1382.8,-3.57,0,0
38.75,83.74,0,246.75,-33.92,EXIT,1730.03,-10.35,0,0
33.07,68.55,0,257.82,17.13,NONE,1192.67,5.09,3,0
24.51,47.45,1,245.59,7.38,NONE,1102.24,19.69,3,0
27.82,57.46,0,146.14,16.34,NONE,1029.42,2.33,0,0
33.28,56.28,1,198.76,2.32,NONE,1455.46,16.63,1,0
36.2,61.69,1,60.61,14.84,NONE,1846.79,4.73,7,1
24.51,71.46,1,194.72,11.22,NONE,1235.99,29.63,2,0
32.28,80.07,0,136.87,-17.03,NONE,949.18,20.32,0,0
37.07,63.78,1,157.28,0.56,NONE,1229.52,4.64,5,1
32.33,53.56,1,67.45,-67.83,ENTER,1376.72,23.36,0,1
29.95,60.37,1,191.43,10.28,NONE,1235.44,9.35,0,0
31.91,66.64,0,248.05,-42.26,ENTER,1433.41,-7.47,0,0
33.05,53.16,1,318.2,11.61,NONE,1729.58,-27.23,3,0
30.14,65.54,0,256.61,-12.14,NONE,1501.31,-2.16,1,0
25.55,56.21,0,192.45,-8.77,NONE,1058.36,-0.83,1,0
25.03,58.82,1,188.34,19.24,NONE,1405.62,10.67,6,1
28.04,66.27,0,216.81,-0.79,NONE,1198.03,13.18,5,1
20.39,67.15,1,180.86,-13.7,NONE,1432.09,30.26,4,1
34.05,65.27,0,165.07,28.86,NONE,1248.44,-3.51,4,0
27.12,65.53,0,257.06,-3.72,NONE,1518.56,-19.3,1,0
25.4,44.78,0,237.73,-6.37,NONE,1450.63,15.83,9,1
27.77,61.46,0,248.96,-0.23,NONE,1344.71,7.91,4,0
35.36,70.64,0,213.43,12.38,NONE,838.17,28.82,0,0
28.82,72.51,0,184.73,7.65,NONE,1696.79,-7.23,4,0
31.54,55.08,0,188.58,9.37,NONE,1607.24,30.74,5,1
31.99,52.86,0,193.4,-25.33,NONE,1596.66,31.29,7,1
28.64,74.64,0,286.63,11.87,NONE,1632.41,-1.38,11,1
29.21,65.07,0,212.24,-3.63,NONE,1675.57,10.93,4,1
27.07,64.05,0,228.7,13.01,NONE,1489.74,13.65,6,1
24.87,75.59,0,228.63,7.23,NONE,1114.06,-26.23,0,0
29.24,45.48,0,158.73,3.39,NONE,1820.46,-2.09,7,1
28.06,54.3,0,205.8,-26.95,EXIT,1424.98,-14.29,2,1
23.45,59.18,0,151.4,6.65,NONE,1099.69,28.68,0,0
25.03,95.0,0,218.11,-75.94,ENTER,837.64,-57.93,1,0
32.6,49.24,1,146.87,0.79,NONE,1546.99,21.01,8,1
22.85,74.28,1,209.09,13.08,NONE,1808.41,40.97,9,1
30.31,72.12,0,274.31,110.96,EXIT,1176.96,-11.54,2,1
26.63,53.16,0,217.02,-80.52,ENTER,1503.81,4.34,4,0
30.93,76.77,1,106.02,-34.93,ENTER,1484.12,-28.21,2,1
24.81,64.95,1,186.64,-0.0,NONE,1420.13,-3.41,4,0
23.6,65.4,0,245.97,-10.54,NONE,1489.62,34.56,1,0
23.89,67.47,1,186.63,-8.23,NONE,1587.89,-5.95,3,1
27.08,61.3,0,228.75,28.48,NONE,1351.58,1.68,2,1
31.18,58.5,0,246.52,37.1,NONE,1154.11,-12.68,0,0
37.62,53.06,0,230.02,3.58,NONE,1807.3,-7.04,7,1
29.65,64.33,1,189.76,-11.02,NONE,1423.66,5.97,7,1
33.86,69.85,0,196.47,6.06,NONE,1510.66,29.79,7,1
29.48,44.51,1,244.94,5.58,NONE,1107.85,23.49,1,1
22.83,58.77,0,204.37,10.08,NONE,1467.75,-5.26,3,0
27.79,54.06,0,260.08,54.62,EXIT,1224.94,-1.47,2,0
33.13,59.68,0,218.12,-11.72,NONE,1579.29,22.29,2,1
31.32,48.59,0,154.42,-6.94,NONE,1426.19,10.58,0,0
34.43,63.87,1,135.15,-22.51,ENTER,1271.44,6.52,3,1
23.85,53.15,0,142.99,4.85,NONE,1306.7,-3.72,4,1
25.72,63.09,0,225.11,-4.49,NONE,1777.93,4.72,7,1
29.88,55.13,0,343.62,-21.84,ENTER,1224.55,11.47,4,0
31.22,63.74,0,242.32,-3.64,NONE,1161.2,3.98,1,0
27.23,86.48,0,193.28,-19.05,NONE,1251.39,-20.59,3,0
28.58,76.47,0,185.28,-0.85,NONE,1837.49,1.65,4,1
25.75,72.94,0,286.97,-2.36,NONE,1560.38,-3.77,1,0
25.07,56.46,0,150.24,13.86,NONE,1733.03,-10.82,10,1
27.87,61.02,0,188.98,-24.3,NONE,1578.73,-3.9,3,1
31.07,64.36,0,218.92,13.74,NONE,1226.17,3.43,9,1
38.1,65.37,1,250.23,2.18,NONE,1329.14,48.56,7,1
32.14,62.21,0,201.5,-2.95,NONE,1074.36,12.77,10,1
29.04,69.62,0,197.25,-3.78,NONE,1422.2,-10.83,3,0
25.84,47.97,1,307.29,49.54,EXIT,1675.02,15.12,0,1
29.3,76.08,0,172.8,0.55,NONE,1419.43,12.53,3,1
30.77,41.26,1,204.56,-64.89,NONE,2121.97,19.43,1,1
33.86,81.37,0,210.76,-8.26,NONE,892.35,-7.34,13,1
22.06,57.67,0,192.24,-6.01,NONE,1215.78,-19.91,0,0
32.63,57.39,0,207.52,-13.89,NONE,1099.72,0.44,2,0
29.64,71.28,0,210.67,-6.62,NONE,1655.22,11.15,7,1
23.95,61.01,1,155.95,-26.4,NONE,1887.03,27.52,3,1
25.64,33.87,0,213.25,-25.88,ENTER,910.9,13.78,0,0
24.86,70.66,1,190.84,10.42,NONE,1609.42,1.01,8,1
18.9,46.33,1,218.41,-16.81,NONE,1759.43,-18.79,7,1
26.47,79.5,1,217.3,37.9,NONE,1627.5,-0.51,7,1
30.19,46.73,0,181.35,-6.47,NONE,1407.85,-11.98,14,1
32.84,67.14,0,223.31,7.57,NONE,1194.77,44.66,2,1
32.07,55.5,1,209.66,-0.03,NONE,1542.66,31.62,6,1
28.24,56.94,0,268.13,-9.06,EXIT,1414.83,-15.81,2,0
26.86,75.97,0,256.95,1.4,NONE,1626.08,26.21,8,1
27.69,67.23,0,202.88,11.7,NONE,1634.81,10.18,4,1
27.28,57.01,1,110.06,-58.67,ENTER,1769.59,31.6,3,1
33.38,63.48,0,166.24,-2.19,NONE,1107.1,-17.6,4,0
29.67,56.0,1,237.85,13.8,NONE,1242.72,10.33,5,1
25.09,58.32,0,211.7,5.62,NONE,1129.62,-6.06,1,0
29.37,58.8,0,193.34,-5.02,NONE,1262.09,14.11,5,1
26.06,47.85,0,189.75,-9.2,NONE,1298.2,40.48,11,1
29.39,55.51,0,147.49,19.22,NONE,1672.0,-1.0,1,0
33.16,62.36,0,231.14,-1.65,NONE,1711.61,-22.22,5,0
28.62,55.57,0,202.71,7.49,NONE,1348.68,15.2,0,0
24.68,71.74,0,203.45,13.34,NONE,1532.32,54.37,5,1
24.91,51.32,1,250.69,5.24,NONE,1222.35,21.95,9,1
33.1,76.69,1,235.61,-61.67,NONE,1376.59,-27.09,8,1
31.31,70.96,1,125.82,7.33,NONE,1489.53,-19.53,0,0
27.91,73.14,1,197.93,-3.28,NONE,1022.12,-11.93,0,0
27.7,54.71,0,201.85,-10.87,NONE,1463.57,-9.62,4,1
27.23,62.83,0,141.42,9.97,NONE,1073.12,-24.81,4,0
30.21,76.04,0,221.03,-6.38,NONE,1394.89,8.28,4,1
27.62,43.08,0,170.42,1.1,NONE,1109.79,-23.27,3,0
37.36,55.93,0,169.78,1.0,NONE,1508.48,-28.84,0,0
31.32,53.94,0,233.9,-8.2,NONE,925.99,22.91,3,0
22.88,75.18,1,251.07,-18.51,NONE,1181.5,28.07,1,1
33.85,66.58,0,197.73,10.48,NONE,1317.78,8.18,14,1
22.45,62.58,1,200.53,3.64,NONE,1521.91,35.22,4,1
29.29,72.29,0,184.14,-3.11,NONE,1364.07,4.74,3,0
31.78,51.91,0,178.03,0.2,NONE,1310.69,3.01,1,0
23.21,81.58,1,199.48,-21.94,NONE,605.39,26.77,1,1
30.06,63.5,1,152.37,-10.75,NONE,1625.1,14.25,1,1
28.21,74.88,0,261.44,-11.72,NONE,1559.08,-23.56,0,0
25.25,72.87,1,161.79,2.21,NONE,1218.1,28.32,2,1
31.28,53.14,1,247.87,6.45,NONE,1029.7,60.05,5,1
27.93,68.75,0,184.32,3.01,NONE,1847.51,12.63,10,1
31.44,48.2,0,167.1,11.28,NONE,932.94,7.83,2,0
24.73,95.0,0,207.12,-13.49,NONE,1858.95,15.14,0,0
26.66,57.29,1,36.44,-124.65,ENTER,1459.38,13.76,0,1
23.88,65.27,1,187.58,-0.1,NONE,1526.57,-25.65,3,1
19.55,90.9,0,214.14,7.24,NONE,1536.53,-1.05,0,0
27.5,67.63,0,163.8,13.91,NONE,1262.17,-6.68,0,0
24.65,34.91,0,153.63,7.16,NONE,948.94,23.52,4,0
28.24,41.03,0,182.21,-6.93,NONE,1469.22,29.31,5,1
35.73,48.2,1,208.67,-5.7,NONE,1270.41,23.46,8,1
31.73,54.79,0,209.29,8.73,NONE,1487.21,29.04,6,1
28.85,69.46,0,231.98,-4.87,NONE,1164.79,-25.66,0,0
25.43,53.68,1,193.63,6.92,NONE,1436.26,51.79,0,0
26.93,61.61,0,84.44,-5.24,NONE,1473.3,-18.63,0,0
31.6,54.91,1,194.96,1.3,NONE,1218.06,34.82,4,1
28.18,55.28,1,129.57,1.3,NONE,1497.21,24.89,0,0
23.6,76.17,0,204.93,-26.2,NONE,1373.08,22.66,3,1
25.14,59.14,0,219.98,-4.95,NONE,1336.05,-5.24,0,0
32.34,59.51,0,187.96,5.26,NONE,1394.79,1.46,7,1
28.39,66.15,0,187.24,-26.25,EXIT,1107.66,1.26,3,0
25.62,38.85,0,202.35,13.72,NONE,1319.47,-11.29,0,0
24.28,56.21,0,255.15,-0.61,NONE,1132.57,38.28,0,0
24.25,70.43,1,179.15,-15.37,NONE,1262.62,-18.93,3,1
25.2,63.31,1,175.67,-15.6,NONE,1063.87,4.48,0,0
33.75,54.04,0,162.15,-0.87,NONE,1297.43,-18.52,0,0
26.53,60.99,0,161.69,6.11,NONE,823.5,4.71,1,0
31.46,65.44,0,243.06,6.02,NONE,1605.73,-14.69,0,0
22.45,50.77,0,158.75,5.69,NONE,1354.38,23.56,6,1
31.99,56.72,0,198.64,-0.78,NONE,1312.55,19.52,1,0
30.67,44.69,1,185.62,5.85,NONE,1085.33,-4.01,0,0
22.64,61.45,0,180.87,-1.75,NONE,1428.52,8.05,2,0
28.03,68.58,1,294.54,1.74,NONE,1199.05,-12.54,2,0
28.81,46.18,1,193.1,-11.13,NONE,1583.4,-9.25,9,1
27.73,47.95,0,230.36,2.43,NONE,1077.25,-17.78,4,0
27.75,57.11,1,181.73,32.74,NONE,1322.69,2.52,4,1
28.94,74.16,0,136.17,4.1,NONE,1538.86,39.35,4,1
33.17,48.07,0,118.63,9.05,NONE,1198.3,-14.43,2,0
35.2,65.7,0,227.06,-0.69,NONE,1157.03,-3.59,0,0
22.3,58.56,0,202.53,-15.82,NONE,961.07,39.83,2,0
27.9,74.35,1,204.64,59.53,EXIT,1270.12,28.12,1,1
37.41,59.43,0,220.19,21.59,NONE,1447.27,-7.2,2,0
36.61,67.3,0,139.25,-9.89,NONE,1300.14,-1.65,3,0
25.58,58.99,0,208.63,6.25,NONE,1711.7,10.99,8,1
31.49,59.92,1,134.69,-87.85,ENTER,1245.23,10.09,1,1
30.6,69.65,1,183.51,-8.8,NONE,1499.47,-32.6,0,0
30.28,50.25,0,214.48,14.54,NONE,1546.9,11.06,0,0
33.16,52.65,0,190.07,-6.73,NONE,551.05,6.06,10,1
27.95,57.84,0,231.19,-2.49,NONE,1953.56,1.68,4,1
22.9,74.82,1,159.86,33.42,NONE,1558.93,22.13,1,1
29.72,77.43,0,194.53,22.34,NONE,1290.93,3.02,7,1
23.96,71.16,0,211.85,-8.99,NONE,1365.68,24.44,5,0
33.41,67.67,0,275.98,6.99,NONE,1713.3,-15.68,0,0
32.85,56.76,1,239.42,11.24,NONE,1571.29,27.33,6,1
27.86,63.93,0,239.53,-2.73,NONE,1827.67,5.33,4,1
29.6,60.12,0,155.4,3.68,NONE,1088.91,-2.17,1,0
30.42,60.43,1,226.65,-11.88,NONE,1148.51,9.45,10,1
32.41,46.5,0,245.03,-7.41,NONE,1483.85,-38.63,1,0
29.26,59.33,1,202.58,15.04,NONE,1086.88,-16.84,0,0
28.18,68.01,0,117.07,-75.86,ENTER,1351.23,10.8,3,1
22.62,57.66,1,196.38,49.9,NONE,1624.89,24.25,9,1
23.64,77.33,0,91.73,-76.21,ENTER,1292.45,10.21,3,1
24.09,71.85,0,225.29,-66.36,ENTER,1346.89,0.94,1,0
24.99,61.16,1,204.41,46.83,EXIT,1370.76,13.72,2,1
24.96,71.08,0,159.2,20.31,NONE,1725.52,5.89,4,1
36.42,48.86,0,169.17,-5.99,NONE,1249.88,21.93,6,1
34.28,54.46,0,260.96,-0.98,NONE,1536.44,11.87,5,1
32.39,58.66,1,191.7,6.81,NONE,1200.88,5.21,0,0
32.72,53.13,0,188.73,0.06,NONE,988.31,-37.19,0,0
32.59,58.53,0,96.06,-57.26,ENTER,1427.21,-15.71,3,1
30.18,61.31,0,264.05,9.32,NONE,1050.21,32.33,11,1
28.92,65.01,0,219.47,18.45,NONE,1534.79,16.32,3,0
21.97,71.81,0,167.62,-21.1,NONE,1693.18,-4.84,1,1
30.15,60.62,0,172.39,-3.56,NONE,1783.7,-16.76,8,1
31.81,69.01,1,253.06,-13.17,NONE,1489.21,2.09,7,1
22.53,30.22,0,173.89,6.49,NONE,1742.59,-9.33,6,1
31.12,63.85,1,210.55,6.03,NONE,1558.23,-14.71,3,0
33.56,60.6,1,224.83,-52.35,NONE,1450.73,52.96,4,1
27.52,64.13,0,161.89,20.31,NONE,1082.22,-26.28,0,0
32.83,76.05,0,199.67,-8.45,NONE,1919.12,2.67,3,1
32.56,59.85,0,183.15,-9.06,NONE,1155.85,-19.63,3,0
34.64,30.86,1,227.91,-20.81,NONE,1528.57,22.48,8,1
27.38,79.38,0,143.42,-0.28,NONE,1049.92,-3.63,0,0
24.89,70.93,0,249.03,-2.64,NONE,1030.59,6.23,0,0
23.08,53.82,0,260.81,-9.54,NONE,1184.48,17.24,1,0
27.64,73.24,0,206.89,16.75,NONE,1604.38,-18.86,4,0
31.95,67.55,0,162.69,-11.63,NONE,1650.65,22.72,8,1
32.42,57.88,1,248.03,-0.69,NONE,1108.76,-9.31,0,0
34.48,68.63,0,255.41,-17.1,NONE,1792.32,6.52,3,0
